Var1;Var2;value;year;region;type
OtherUses;crop;2538205.11482799;1995;US;mass
Food;lvst;8835548.67725319;1995;US;mass
OtherUses;lvst;523110.708851903;1995;US;mass
Food;crop;7626681.68607162;1995;US;price
OtherUses;crop;3027052.03481732;1995;US;price
Food;lvst;9214808.28150711;1995;US;price
OtherUses;lvst;338183.612900512;1995;US;price
Food;crop;7619799.22986437;1995;CN;mass
OtherUses;crop;1357693.37122191;1995;CN;mass
Food;lvst;1649867.1537383;1995;CN;mass
OtherUses;lvst;3317685.01563448;1995;CN;mass
Food;crop;8318008.5730516;1995;CN;price
OtherUses;crop;2295073.31120632;1995;CN;price
Food;lvst;1142669.81657965;1995;CN;price
OtherUses;lvst;2282858.81037985;1995;CN;price
Food;crop;13772770.7356584;1996;EU;mass
OtherUses;crop;4270061.93104936;1996;EU;mass
Food;lvst;22181650.1845721;1996;EU;mass
OtherUses;lvst;5299052.39123905;1996;EU;mass
Food;crop;15406342.2204267;1996;EU;price
OtherUses;crop;5811648.91066795;1996;EU;price
Food;lvst;17223878.4149023;1996;EU;price
OtherUses;lvst;4139759.32923624;1996;EU;price
Food;crop;6969534.51435586;1996;US;mass
OtherUses;crop;2549924.93544942;1996;US;mass
Food;lvst;8424648.28705546;1996;US;mass
OtherUses;lvst;571603.276012775;1996;US;mass
Food;crop;7173218.75887702;1996;US;price
OtherUses;crop;3074279.33837051;1996;US;price
Food;lvst;8721093.8707435;1996;US;price
OtherUses;lvst;334607.959369784;1996;US;price
Food;crop;5768307.77591854;1996;CN;mass
OtherUses;crop;1432340.93149028;1996;CN;mass
Food;lvst;2310914.68633628;1996;CN;mass
OtherUses;lvst;2376459.43921527;1996;CN;mass
Food;crop;6158034.34135324;1996;CN;price
OtherUses;crop;2231687.33390418;1996;CN;price
Food;lvst;1626156.74591351;1996;CN;price
OtherUses;lvst;1634976.35613921;1996;CN;price
Food;crop;15965861.465922;1997;EU;mass
OtherUses;crop;4313982.20077813;1997;EU;mass
Food;lvst;19487297.5927622;1997;EU;mass
OtherUses;lvst;4603389.65457671;1997;EU;mass
Food;crop;16306653.1197597;1997;EU;price
OtherUses;crop;5829377.50485366;1997;EU;price
Food;lvst;15463731.0597827;1997;EU;price
OtherUses;lvst;4226089.19330181;1997;EU;price
Food;crop;6704300.65620747;1997;US;mass
OtherUses;crop;2553556.02893317;1997;US;mass
Food;lvst;8645005.85919056;1997;US;mass
OtherUses;lvst;701295.817697969;1997;US;mass
Food;crop;6881665.45303848;1997;US;price
OtherUses;crop;3080791.21560967;1997;US;price
Food;lvst;8797142.94995619;1997;US;price
OtherUses;lvst;408137.032475301;1997;US;price
Food;crop;3492849.84483358;1997;CN;mass
OtherUses;crop;1316611.49696319;1997;CN;mass
Food;lvst;3110237.59916648;1997;CN;mass
OtherUses;lvst;2052977.110686;1997;CN;mass
Food;crop;3851883.55918902;1997;CN;price
OtherUses;crop;2045812.39249722;1997;CN;price
Food;lvst;2477756.70648133;1997;CN;price
OtherUses;lvst;1615276.6368681;1997;CN;price
Food;crop;14534416.8671666;1998;EU;mass
OtherUses;crop;4533916.23673526;1998;EU;mass
