Var1;Var2;value;year;region;type
Food;crop;48385471.3064285;1999;EU;mass
OtherUses;crop;8446917.02472629;1999;EU;mass
Food;lvst;83082825.6229223;1999;EU;mass
OtherUses;lvst;10940945.9297418;1999;EU;mass
Food;crop;51460631.0823952;1999;EU;price
OtherUses;crop;10419806.9042115;1999;EU;price
Food;lvst;77581053.85457;1999;EU;price
OtherUses;lvst;7164565.30303888;1999;EU;price
Food;crop;29814293.4852096;1999;US;mass
OtherUses;crop;8262037.51657922;1999;US;mass
Food;lvst;66762757.3612189;1999;US;mass
OtherUses;lvst;5786667.98770032;1999;US;mass
Food;crop;33271638.9523627;1999;US;price
OtherUses;crop;11274395.0513778;1999;US;price
Food;lvst;67395174.8957771;1999;US;price
OtherUses;lvst;2364900.93835859;1999;US;price
Food;crop;97488101.8107127;1999;CN;mass
OtherUses;crop;10354559.013408;1999;CN;mass
Food;lvst;44224294.2582291;1999;CN;mass
OtherUses;lvst;6105612.02933747;1999;CN;mass
Food;crop;101101743.993038;1999;CN;price
OtherUses;crop;13544046.9240145;1999;CN;price
Food;lvst;39039218.6222517;1999;CN;price
OtherUses;lvst;3463524.63104066;1999;CN;price
Food;crop;49330576.78066;2000;EU;mass
OtherUses;crop;8619634.5569714;2000;EU;mass
Food;lvst;85132052.1071665;2000;EU;mass
OtherUses;lvst;11242454.544424;2000;EU;mass
Food;crop;52200180.4241906;2000;EU;price
OtherUses;crop;10970183.5432376;2000;EU;price
Food;lvst;80853304.2151392;2000;EU;price
OtherUses;lvst;8937534.75715233;2000;EU;price
Food;crop;29620134.5438788;2000;US;mass
OtherUses;crop;7494071.2535644;2000;US;mass
Food;lvst;65793888.8869401;2000;US;mass
OtherUses;lvst;5214076.91240747;2000;US;mass
Food;crop;32171866.1943756;2000;US;price
OtherUses;crop;9389496.12073327;2000;US;price
Food;lvst;67464862.5888948;2000;US;price
OtherUses;lvst;2143603.22203521;2000;US;price
Food;crop;101824940.311542;2000;CN;mass
OtherUses;crop;11843806.5423754;2000;CN;mass
Food;lvst;50723147.5950286;2000;CN;mass
OtherUses;lvst;7836042.53231489;2000;CN;mass
Food;crop;104482339.182893;2000;CN;price
OtherUses;crop;15043179.0506675;2000;CN;price
Food;lvst;45727076.3175335;2000;CN;price
